Symbol,Price Average,Volume Average,Price Annual Average Growth Rate,Volume Annual Average Growth Rate,Name,Sector,Marketcap,Rank,Marketcap %
ON,36.4089,6579558.5436,28.8159,4.0028,ON Semiconductor Corporation,Technology,29758240768,275.0,0.061929544097059995
DAL,44.1863,11800681.8922,0.1534,28.4177,"Delta Air Lines, Inc.",Industrials,29747304448,276.0,0.06190678464306
ANSS,221.5822,512063.5356,17.6506,10.0382,"ANSYS, Inc.",Technology,29541672960,277.0,0.061478847239
HIG,58.1289,2319129.7086,9.3523,-4.4055,"The Hartford Financial Services Group, Inc.",Financial Services,29524764672,278.0,0.06144365958878
FICO,413.9883,209981.0101,36.0677,0.1444,Fair Isaac Corporation,Technology,29356046336,279.0,0.06109254173504
VICI,26.5032,5567938.3781,7.8883,15.2145,VICI Properties Inc.,Real Estate,29322665984,280.0,0.06102307425552
BIIB,281.9678,1549480.8164,-3.2969,-5.7997,Biogen Inc.,Healthcare,29297508352,281.0,0.060970718987199995
FTV,63.2038,2289300.5532,7.5433,5.08,Fortive Corporation,Technology,29245358080,282.0,0.060862189635789994
WST,205.2141,426837.1654,25.61,8.1221,"West Pharmaceutical Services, Inc.",Healthcare,28533268480,283.0,0.059380267884159996
RMD,142.5826,796142.795,14.8441,3.0097,ResMed Inc.,Healthcare,28505847808,284.0,0.059323203028450004
HPQ,22.9258,12146513.0984,10.6275,-9.4617,HP Inc.,Technology,28327026688,285.0,0.05895106038323
DLTR,105.4993,2680694.9163,7.9663,1.1353,"Dollar Tree, Inc.",Consumer Defensive,28060952576,286.0,0.05839733650618
GRMN,85.9186,1045203.1768,14.6409,-2.8084,Garmin Ltd.,Technology,27991771136,287.0,0.05825336378035
MTD,859.7449,153551.2308,17.8168,-0.134,Mettler-Toledo International Inc.,Healthcare,27920619520,288.0,0.058105290943150006
CBRE,58.3585,1878503.0892,13.0919,1.4632,"CBRE Group, Inc.",Real Estate,27919216640,289.0,0.058102371425169996
KEYS,96.8768,1157075.4138,21.0889,9.0934,"Keysight Technologies, Inc.",Technology,27414020096,290.0,0.05705101251276
TSCO,137.1722,1352626.8643,13.4695,6.5077,Tractor Supply Company,Consumer Cyclical,27339175936,291.0,0.056895255163280006
GLW,29.8915,6051803.7675,6.2465,-6.6911,Corning Incorporated,Technology,27328497664,292.0,0.05687303273011
EBAY,40.8809,9488428.5953,8.0956,-7.4866,eBay Inc.,Consumer Cyclical,27174279168,293.0,0.05655209033224
WTW,185.3394,734137.2736,8.9464,13.0776,Willis Towers Watson Public Limited Company,Financial Services,26978725888,294.0,0.056145126574819994
HWM,31.1366,3190571.8814,16.7644,58.6183,Howmet Aerospace Inc.,Industrials,26772336640,295.0,0.05571561220484
RJF,69.8994,1218694.8844,15.4421,1.2647,"Raymond James Financial, Inc.",Financial Services,26573729792,296.0,0.055302293700999997
EIX,66.0095,2165361.5608,1.6098,1.087,Edison International,Utilities,26512144384,297.0,0.05517412899293
AVB,185.1364,766230.677,1.321,4.6259,"AvalonBay Communities, Inc.",Real Estate,26460442624,298.0,0.05506653303487
CAH,70.2327,2593920.668,4.1045,2.0777,"Cardinal Health, Inc.",Healthcare,26254569472,299.0,0.05463809270654
ZBH,121.1746,1397779.2566,2.1918,2.7519,"Zimmer Biomet Holdings, Inc.",Healthcare,26241478656,300.0,0.05461084955486
WAB,88.7379,1074901.4524,5.6363,10.168,Westinghouse Air Brake Technologies Corporation,Industrials,26088316928,301.0,0.054292106385130004
TROW,111.292,1437841.8917,6.5672,2.2512,"T. Rowe Price Group, Inc.",Financial Services,26072418304,302.0,0.054259019935439995
TTWO,111.3085,1824862.2477,24.8722,4.2985,"Take-Two Interactive Software, Inc.",Communication Services,25973880832,303.0,0.05405395469771
TRGP,55.7248,2080917.7524,10.9524,21.805,Targa Resources Corp.,Energy,25520314368,304.0,0.053110042570909996
WEC,77.2505,1697037.9168,6.1123,3.4475,"WEC Energy Group, Inc.",Utilities,25177249792,305.0,0.05239609469498
CHD,70.7293,1595234.2198,10.2201,-0.6882,"Church & Dwight Co., Inc.",Consumer Defensive,25019774976,306.0,0.05206837560575
ALGN,264.9622,905027.972,29.7733,3.4368,"Align Technology, Inc.",Healthcare,24620625920,307.0,0.05123771094188
WY,31.794,4156319.9223,1.7475,1.682,Weyerhaeuser Company,Real Estate,24515131392,308.0,0.051018167452240006
NVR,3761.4134,25380.2234,20.5936,-3.538,"NVR, Inc.",Consumer Cyclical,24491159552,309.0,0.05096827992247
AXON,102.8985,853849.7604,35.8412,-9.6993,"Axon Enterprise, Inc.",Industrials,24016949248,310.0,0.04998140612970001
BR,121.9443,642131.4584,16.8718,3.067,"Broadridge Financial Solutions, Inc.",Technology,23974846464,311.0,0.04989378649389
EQR,69.1302,1964135.1953,-1.5161,7.1949,Equity Residential,Real Estate,23896719360,312.0,0.04973119704615
DOV,104.9867,1240618.1193,13.2025,-5.8355,Dover Corporation,Industrials,23880071168,313.0,0.04969655067882
BF-B,55.577,1274333.9072,4.9748,2.8096,Brown-Forman Corporation,Consumer Defensive,23857049600,314.0,0.04964864074954
BRO,41.9277,1300473.1411,19.3615,0.9666,"Brown & Brown, Inc.",Financial Services,23854505984,315.0,0.04964334725856
FITB,28.4986,6314295.4957,9.6159,-2.8206,Fifth Third Bancorp,Financial Services,23780706304,316.0,0.0494897635648
WDC,59.9461,4849155.2221,0.7679,17.2784,Western Digital Corporation,Technology,23587891200,317.0,0.04908849819502
LYV,60.7764,1830791.3746,17.9434,18.7282,"Live Nation Entertainment, Inc.",Communication Services,23407532032,318.0,0.0487131547352
HPE,17.6218,13833655.5232,-2.7168,-2.2663,Hewlett Packard Enterprise Company,Technology,23396939776,319.0,0.048691111308970005
PHM,43.2058,3864578.0055,21.969,-11.1271,"PulteGroup, Inc.",Consumer Cyclical,23082088448,320.0,0.04803587770987
AWK,112.0023,1025401.9513,10.9134,9.204,"American Water Works Company, Inc.",Utilities,23049390080,321.0,0.04796782949967
STLD,54.8598,2371788.5173,27.1267,-9.7344,"Steel Dynamics, Inc.",Basic Materials,22877120512,322.0,0.0476093212165
BLDR,49.9146,1591041.7374,39.5538,6.3631,"Builders FirstSource, Inc.",Industrials,22819852288,323.0,0.04749014095207
MTB,144.4214,995243.5897,3.1062,4.67,M&T Bank Corporation,Financial Services,22470506496,324.0,0.046763121307350004
STT,75.7693,2447861.9099,1.8104,-0.2513,State Street Corporation,Financial Services,22442784768,325.0,0.04670542992733
ETR,93.3535,1371990.4948,3.9235,0.574,Entergy Corporation,Utilities,22296688640,326.0,0.046401390899220005
IRM,41.8455,1927266.1902,9.9347,2.4631,Iron Mountain Incorporated,Real Estate,22122371072,327.0,0.04603862054601
SBAC,211.8275,875253.4407,9.6396,2.1016,SBA Communications Corporation,Real Estate,22095316992,328.0,0.04598231860083
MOH,184.6139,707145.1515,23.9179,-4.0094,"Molina Healthcare, Inc.",Healthcare,22094880768,329.0,0.04598141077991
